app_id: 0, app_name: pulse_doppler_api-x86, task_id: 37, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681266892410, ref_stop_time: 105681266899353, actual_exe_time: 6943, task_app_start_time:105681260255688, task_sched_time:105681266890336
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 38, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 105681266977681, ref_stop_time: 105681267028116, actual_exe_time: 50435, task_app_start_time:105681260255688, task_sched_time:105681266976709
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 39, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681267101985, ref_stop_time: 105681267124236, actual_exe_time: 22251, task_app_start_time:105681260255688, task_sched_time:105681267099540
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 40, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681267281162, ref_stop_time: 105681267288075, actual_exe_time: 6913, task_app_start_time:105681260255688, task_sched_time:105681267280010
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 41, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681267359970, ref_stop_time: 105681267367344, actual_exe_time: 7374, task_app_start_time:105681260255688, task_sched_time:105681267358077
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 42, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 105681267448206, ref_stop_time: 105681267454137, actual_exe_time: 5931, task_app_start_time:105681260255688, task_sched_time:105681267446223
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 43, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681267524259, ref_stop_time: 105681267576127, actual_exe_time: 51868, task_app_start_time:105681260255688, task_sched_time:105681267523107
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 44, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681267735247, ref_stop_time: 105681267741749, actual_exe_time: 6502, task_app_start_time:105681260255688, task_sched_time:105681267732872
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 45, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681267817391, ref_stop_time: 105681267891761, actual_exe_time: 74370, task_app_start_time:105681260255688, task_sched_time:105681267814626
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 46, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 105681267969608, ref_stop_time: 105681267974828, actual_exe_time: 5220, task_app_start_time:105681260255688, task_sched_time:105681267967554
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 47, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681268046993, ref_stop_time: 105681268097759, actual_exe_time: 50766, task_app_start_time:105681260255688, task_sched_time:105681268044829
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 48, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681268287306, ref_stop_time: 105681268341458, actual_exe_time: 54152, task_app_start_time:105681260255688, task_sched_time:105681268284611
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 49, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681268441977, ref_stop_time: 105681268448970, actual_exe_time: 6993, task_app_start_time:105681260255688, task_sched_time:105681268439773
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 50, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 105681268565159, ref_stop_time: 105681268609392, actual_exe_time: 44233, task_app_start_time:105681260255688, task_sched_time:105681268563095
