app_id: 0, app_name: TX_api-x86, task_id: 52, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933405077388, ref_stop_time: 105933405084231, actual_exe_time: 6843, task_app_start_time:105933396325063, task_sched_time:105933405075855
app_id: 0, app_name: TX_api-x86, task_id: 53, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933405184069, ref_stop_time: 105933405190922, actual_exe_time: 6853, task_app_start_time:105933396325063, task_sched_time:105933405182746
app_id: 0, app_name: TX_api-x86, task_id: 54, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933405291481, ref_stop_time: 105933405299907, actual_exe_time: 8426, task_app_start_time:105933396325063, task_sched_time:105933405289798
app_id: 0, app_name: TX_api-x86, task_id: 55, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933405399574, ref_stop_time: 105933405406497, actual_exe_time: 6923, task_app_start_time:105933396325063, task_sched_time:105933405397651
app_id: 0, app_name: TX_api-x86, task_id: 56, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933405517837, ref_stop_time: 105933405564345, actual_exe_time: 46508, task_app_start_time:105933396325063, task_sched_time:105933405515493
app_id: 0, app_name: TX_api-x86, task_id: 57, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933405663591, ref_stop_time: 105933405672398, actual_exe_time: 8807, task_app_start_time:105933396325063, task_sched_time:105933405662299
app_id: 0, app_name: TX_api-x86, task_id: 58, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933405770302, ref_stop_time: 105933405777205, actual_exe_time: 6903, task_app_start_time:105933396325063, task_sched_time:105933405769180
app_id: 0, app_name: TX_api-x86, task_id: 59, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105933405876973, ref_stop_time: 105933405883816, actual_exe_time: 6843, task_app_start_time:105933396325063, task_sched_time:105933405874929
app_id: 0, app_name: TX_api-x86, task_id: 60, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105933406057643, ref_stop_time: 105933406113989, actual_exe_time: 56346, task_app_start_time:105933396325063, task_sched_time:105933406055920
app_id: 0, app_name: TX_api-x86, task_id: 61, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105933406212535, ref_stop_time: 105933406265214, actual_exe_time: 52679, task_app_start_time:105933396325063, task_sched_time:105933406211543
