Resource Pool,Scheduler,Injection Rate (Mbps),Trial 1,Trial 2,Avg. execution time / app.(ns),Avg. cumulative execution time / app. (ns),Avg. Scheduling overhead / app.(ns), cpu1, cpu2, cpu3, fft1, fft2, zip1, zip2
C2+F0+M0+Z1,SIMPLE,20,369900.0,641718.2,3099603.6,505809.1,18195.0,0,0,0,0,0,0,0
C2+F0+M0+Z1,MET,10,404118.0,405150.0,3261105.5,404634.0,21750.0,0,0,0,0,0,0,0
C2+F0+M0+Z1,MET,20,405228.0,405216.0,3093123.4,405222.0,21027.0,0,0,0,0,0,0,0
C2+F0+M0+Z1,ETF,10,407184.2,407046.2,3474294.6,407115.2,21435.0,0,0,0,0,0,0,0
C2+F0+M0+Z1,ETF,20,406704.0,677682.0,3121377.4000000004,542193.0,21120.0,0,0,0,0,0,0,0
C2+F0+M0+Z1,EFT,10,405294.0,399486.0,3368982.5,402390.0,23082.0,0,0,0,0,0,0,0
C2+F0+M0+Z1,EFT,20,386610.0,407526.0,3213516.5,397068.0,21927.0,0,0,0,0,0,0,0
C3+F0+M0+Z1,SIMPLE,10,423864.0,416520.2,3965604.8,420192.1,18414.0,0,0,0,0,0,0,0
C3+F0+M0+Z1,SIMPLE,20,413358.0,390336.0,3347754.5,401847.0,17697.0,0,0,0,0,0,0,0
C3+F0+M0+Z1,MET,10,446760.0,421566.2,4560993.9,434163.1,21813.0,0,0,0,0,0,0,0
C3+F0+M0+Z1,MET,20,417960.0,421596.2,3354726.6,419778.1,21819.0,0,0,0,0,0,0,0
C3+F0+M0+Z1,ETF,10,397032.0,403242.2,3927423.5999999996,400137.1,21891.0,0,0,0,0,0,0,0
C3+F0+M0+Z1,ETF,20,413322.0,407928.0,3565536.6,410625.0,21336.0,0,0,0,0,0,0,0
C3+F0+M0+Z1,EFT,10,401886.0,415476.0,3721527.6,408681.0,22017.0,0,0,0,0,0,0,0
C3+F0+M0+Z1,EFT,20,402714.0,396666.0,3398880.6,399690.0,21420.0,0,0,0,0,0,0,0
C1+F1+M0+Z1,SIMPLE,10,390174.0,427260.0,3637407.5,408717.0,20424.0,0,0,0,0,0,0,0
C1+F1+M0+Z1,SIMPLE,20,395508.2,395574.0,3203772.6,395541.1,18444.0,0,0,0,0,0,0,0
C1+F1+M0+Z1,MET,10,373692.2,361686.2,3579381.5,367689.2,24249.0,0,0,0,0,0,0,0
C1+F1+M0+Z1,MET,20,548196.4,635598.2,3249042.6,591897.3,25365.0,0,0,0,0,0,0,0
C1+F1+M0+Z1,ETF,10,534972.0,389430.0,3964203.5,462201.0,25005.0,0,0,0,0,0,0,0
C1+F1+M0+Z1,ETF,20,640830.0,557232.2,3237891.6,599031.1,27219.0,0,0,0,0,0,0,0
C1+F1+M0+Z1,EFT,10,370794.0,380460.2,3416379.5,375627.1,21384.0,0,0,0,0,0,0,0
C1+F1+M0+Z1,EFT,20,392958.2,356010.2,3198648.6,374484.2,21171.0,0,0,0,0,0,0,0
C2+F1+M0+Z1,SIMPLE,10,430386.0,399996.0,3595980.5999999996,415191.0,18429.0,0,0,0,0,0,0,0
C2+F1+M0+Z1,SIMPLE,20,435354.2,398682.0,3308364.6,417018.1,17679.0,0,0,0,0,0,0,0
C2+F1+M0+Z1,MET,10,358692.0,358194.0,4050141.7,358443.0,24813.0,0,0,0,0,0,0,0
C2+F1+M0+Z1,MET,20,359040.2,353058.0,3475962.5,356049.1,22794.0,0,0,0,0,0,0,0
C2+F1+M0+Z1,ETF,10,369936.2,358440.0,3990594.5999999996,364188.1,21819.0,0,0,0,0,0,0,0
C2+F1+M0+Z1,ETF,20,374502.0,375792.0,3518469.6,375147.0,21486.0,0,0,0,0,0,0,0
C2+F1+M0+Z1,EFT,10,539142.4,574944.2,4036011.6,557043.3,21651.0,0,0,0,0,0,0,0
C2+F1+M0+Z1,EFT,20,376206.0,377538.0,3520821.5,376872.0,27267.0,0,0,0,0,0,0,0
C3+F1+M0+Z1,SIMPLE,10,404118.2,418692.0,4322613.5,411405.1,17862.0,0,0,0,0,0,0,0
C3+F1+M0+Z1,SIMPLE,20,406908.0,410862.0,3886470.5,408885.0,19368.0,0,0,0,0,0,0,0
C3+F1+M0+Z1,MET,10,357852.0,365592.4,4330467.8,361722.2,23832.0,0,0,0,0,0,0,0
C3+F1+M0+Z1,MET,20,357876.0,357144.0,4039809.6,357510.0,23346.0,0,0,0,0,0,0,0
C3+F1+M0+Z1,ETF,10,370578.0,562638.0,4379445.7,466608.0,22233.0,0,0,0,0,0,0,0
C3+F1+M0+Z1,ETF,20,371652.0,376140.2,4179498.6999999997,373896.1,22350.0,0,0,0,0,0,0,0
C3+F1+M0+Z1,EFT,10,382998.2,385788.0,4265832.699999999,384393.1,22365.0,0,0,0,0,0,0,0
C3+F1+M0+Z1,EFT,20,355128.0,355752.0,4087083.5,355440.0,22029.0,0,0,0,0,0,0,0
